country_code;continent
ALB;eu
ARE;asia
ARG;so_am
ARM;asia
AUS;oce
AUT;eu
AZE;asia
BAH;so_am
BEL;eu
BGD;asia
BGR;eu
BHR;asia
BLM;so_am
BLR;eu
BLZ;so_am
BMU;so_am
BRA;so_am
BRN;asia
BWA;afr
CAN;no_am
CHE;eu
CHL;so_am
CHN;asia
CMR;afr
COL;so_am
CRI;so_am
CYM;so_am
CYP;eu
CZE;eu
DEU;eu
DNK;eu
DOM;so_am
DZA;afr
ECU;so_am
EGY;afr
ESP;eu
EST;eu
FIN;eu
FRA;eu
GBR;eu
GEO;eu
GGY;eu
GHA;afr
GIB;eu
GRC;eu
GRD;so_am
GTM;so_am
HKG;asia
HND;so_am
HRV;eu
HUN;eu
IDN;asia
IND;asia
IRL;eu
IRN;asia
ISL;eu
ISR;asia
ITA;eu
JAM;so_am
JEY;eu
JOR;asia
JPN;asia
KAZ;asia
KEN;afr
KHM;asia
KNA;so_am
KOR;asia
KWT;asia
LAO;asia
LBN;asia
LIE;eu
LKA;asia
LTU;eu
LUX;eu
LVA;eu
MAF;so_am
MAR;afr
MCO;eu
MDA;eu
MEX;no_am
MKD;eu
MLT;eu
MMR;asia
MNE;eu
MOZ;afr
MUS;afr
MYS;asia
NGA;afr
NIC;so_am
NLD;eu
NOR;eu
NPL;asia
NZL;oce
OMN;asia
PAK;asia
PAN;so_am
PER;so_am
PHL;asia
POL;eu
PRI;so_am
PRT;eu
PRY;so_am
PSE;asia
QAT;asia
ROM;eu
RUS;eu
RWA;afr
SAU;asia
SEN;afr
SGP;asia
SLV;so_am
SOM;afr
SRB;eu
SVK;eu
SVN;eu
SWE;eu
SYC;afr
TAN;afr
TGO;afr
THA;asia
TTO;so_am
TUN;afr
TUR;eu
TWN;asia
UGA;afr
UKR;eu
URY;so_am
USA;no_am
UZB;asia
VEN;so_am
VNM;asia
ZAF;afr
ZMB;afr
ZWE;afr
BRB;so_am
DMA;so_am
CIV;afr
